0 -50 -52.5 -0.000469682 -1.65832e-11 1.64718e-11               0              0              0
0 -50 -47.5 -0.000470051 -1.60869e-11 1.59445e-11               0              0              0
0 -50 -42.5 -0.000470239 -1.68228e-11 1.69367e-11               0              0              0
0 -50 -37.5 -0.000470426 -1.75588e-11 1.7929e-11               0              0              0
0 -50 -32.5 -0.000470614 -1.82948e-11 1.89213e-11               0              0              0
0 -50 -27.5 -0.000470801 -1.90307e-11 1.99135e-11               0              0              0
0 -50 -22.5 -0.000470917 -2.11304e-11 1.94056e-11               0              0              0
0 -50 -17.5 -0.000470963 -2.45938e-11 1.73976e-11               0              0              0
0 -50 -12.5 -0.000471008 -2.80572e-11 1.53896e-11               0              0              0
0 -50 -7.5 -0.000471054 -3.15206e-11 1.33816e-11               0              0              0
0 -50 -2.5 -0.000471099 -3.49841e-11 1.13736e-11               0              0              0
0 -50 2.5 -0.000471099 -3.49203e-11 8.86608e-12               0              0              0
0 -50 7.5 -0.000471054 -3.13293e-11 5.85917e-12               0              0              0
0 -50 12.5 -0.000471008 -2.77383e-11 2.85225e-12               0              0              0
0 -50 17.5 -0.000470963 -2.41473e-11 -1.54661e-13               0              0              0
0 -50 22.5 -0.000470918 -2.05563e-11 -3.16158e-12               0              0              0
0 -50 27.5 -0.000470801 -1.808e-11 -6.05339e-12               0              0              0
0 -50 32.5 -0.000470614 -1.67184e-11 -8.83011e-12               0              0              0
0 -50 37.5 -0.000470426 -1.53567e-11 -1.16068e-11               0              0              0
0 -50 42.5 -0.000470239 -1.39951e-11 -1.43835e-11               0              0              0
0 -50 47.5 -0.000470051 -1.26334e-11 -1.71603e-11               0              0              0
0 -50 52.5 -0.000469682 -1.26402e-11 -1.98815e-11               0              0              0
-20 -45 -52.5 -0.0004711 5.5511e-07 8.57957e-07               0              0              0
-15 -45 -52.5 -0.00047079 4.16329e-07 6.43471e-07               0              0              0
-10 -45 -52.5 -0.00047048 2.77548e-07 4.28986e-07               0              0              0
-5 -45 -52.5 -0.000470171 1.38767e-07 2.14501e-07               0              0              0
0 -45 -52.5 -0.000469861 -1.42163e-11 1.5453e-11               0              0              0
5 -45 -52.5 -0.000470171 -1.38799e-07 -2.14469e-07               0              0              0
10 -45 -52.5 -0.00047048 -2.77583e-07 -4.28954e-07               0              0              0
15 -45 -52.5 -0.00047079 -4.16367e-07 -6.43439e-07               0              0              0
20 -45 -52.5 -0.0004711 -5.55152e-07 -8.57924e-07               0              0              0
-20 -45 -47.5 -0.000471297 4.46707e-07 6.58973e-07               0              0              0
-15 -45 -47.5 -0.000471024 3.35027e-07 4.94233e-07               0              0              0
-10 -45 -47.5 -0.000470751 2.23346e-07 3.29494e-07               0              0              0
-5 -45 -47.5 -0.000470478 1.11666e-07 1.64755e-07               0              0              0
0 -45 -47.5 -0.000470204 -1.37741e-11 1.51301e-11               0              0              0
5 -45 -47.5 -0.000470478 -1.11698e-07 -1.64724e-07               0              0              0
10 -45 -47.5 -0.000470751 -2.23382e-07 -3.29463e-07               0              0              0
15 -45 -47.5 -0.000471024 -3.35065e-07 -4.94202e-07               0              0              0
20 -45 -47.5 -0.000471297 -4.46749e-07 -6.58942e-07               0              0              0
-20 -45 -42.5 -0.000471373 3.75121e-07 5.52248e-07               0              0              0
-15 -45 -42.5 -0.000471123 2.81338e-07 4.14191e-07               0              0              0
-10 -45 -42.5 -0.000470874 1.87554e-07 2.76132e-07               0              0              0
-5 -45 -42.5 -0.000470624 9.37697e-08 1.38074e-07               0              0              0
0 -45 -42.5 -0.000470375 -1.42521e-11 1.65213e-11               0              0              0
5 -45 -42.5 -0.000470624 -9.38023e-08 -1.38042e-07               0              0              0
10 -45 -42.5 -0.000470874 -1.8759e-07 -2.76101e-07               0              0              0
15 -45 -42.5 -0.000471123 -2.81378e-07 -4.14159e-07               0              0              0
20 -45 -42.5 -0.000471373 -3.75166e-07 -5.52218e-07               0              0              0
-20 -45 -37.5 -0.000471449 3.03536e-07 4.45524e-07               0              0              0
-15 -45 -37.5 -0.000471223 2.27648e-07 3.34148e-07               0              0              0
-10 -45 -37.5 -0.000470997 1.51761e-07 2.22771e-07               0              0              0
-5 -45 -37.5 -0.000470771 7.5873e-08 1.11394e-07               0              0              0
